id	text
doc_041	doc_041 [20 October, 2002]: Fingerprints observed in the cab of the U-haul truck rented by Arnold C. on October 6, 2002 match those of Abu H. was taken into custody shortly after Sept 11, 2002 and then released. The U-haul truck returned to Los Angeles was not subsequently rented after it was returned by Arnold C.
doc_040	doc_040 [27 April, 2002]: Police arrested three men, in the rural village of Germany as they transferred bombmaking chemicals from a rented house. Police said they had stockpiled more than 1,500 pounds of the chemicals to construct homemade explosives and had smuggled detonators from Turkey. Two of the men were German natives -- Fritz Martin Gelowicz and Daniel Martin Schneider. The third suspect, Adem Yilmaz is a Turkish national who grew up in Germany. The three suspects, all in their 20s, had attended training camps in Pakistan run by the Islamic Jihad Union.
doc_039	doc_039 [08 June, 2002]: Suspects arrested for planning to stage a massive mid-air terror attacked were in the final stages of planning and planned to run a dry-run of the plan within two days. One official said the suicide attackers planned to use a peroxide-based solution that could ignite when sparked by a camera flash or another electronic device. Police arrested 24 main suspects were arrested earlier Yesterday.
doc_038	doc_038 [19 October, 2002]: A truck was hijacked outside of Fargo, North Dakota. The truck was carrying several tones of industrial explosives. The truck's location is presently unknown.
doc_037	doc_037 [25 October, 2002]: A man named Nizar A. holding a valid French passport was allowed entry into the USA on 25 July, 2002 at International Falls, Minnesota.
doc_036	doc_036 [14 May, 2002]: German police arrested two men near Frankfurt on terrorism charges, alleging they were involved in a cell that had plotted to blow up U.S. targets in Germany a year ago. Federal prosecutors said the two suspects had traveled separately to Pakistan during 2001 in an attempt to receive training at camps operated by the Islamic Jihad Union.
doc_035	doc_035 [18 October, 2002]: The driver's license provided by Arnold C. and Kamel J. to the truck rental agencies in Boulder, Colorado and Macon, Georgia are not authentic. The address shown on these licenses do not exist.
doc_034	doc_034 [20 September, 2002]: Four men have been charged with conspiring to blow up jet fuel supply tanks and pipelines at John F. Kennedy International Airport. A law enforcement source told that the idea for the plot allegedly came from Defreitas, who also apparently recruited the other men. Those three supposedly directed the effort. Defreitas, 63, a native of Guyana who has been a U.S. citizen since the 1960s, was arrested in Brooklyn, New York.
doc_033	doc_033 [15 October, 2002]: Based on information obtained on 12 October, 2002 concerning Ryder and U-Haul truck rentals by persons who could be identified as foreign
doc_032	doc_032 [15 September, 2002]: The person identified as George W. in FBI Report 03 may be Muhammad J., a Saudi national who is believed to be a member of Al-Queda.
doc_031	doc_031 [20 August, 2002]: Report of sums of money totaling over $200,000, deposited in Atlanta bank accounts thought to be associated with members of God's Aryan Militia in Atlanta.
doc_030	doc_030 [08 August, 2002]: Five of the seven suspects accused of plotting to blow up several buildings including the Sears Tower appeared in a Florida court. Attorney general Alberto Gonzales describes the men as homegrown terrorists. Authorities say the group planned to attack several buildings across the country, including the Sears Tower in Chicago and the FBI headquarters in Miami. Investigators say the mastermind behind these attacks is a man named William Balfour.
doc_029	doc_029 [10 August, 2002]: Video-taped report of a meeting in Atlanta, Georgia on 8 August, 2002 involving Ralph T., a member of God's Aryan Militia and a person identified as George W. Ralph T. has been under surveillance in connection with the arms purchase noted in FBI Report 01.
doc_028	doc_028 [23 July, 2002]: A group of people purchased anti-tank missiles, rocket-propelled grenades, rifles and handguns and was working with the Gulf Cartel to get into the United States. They also paid  one of Mexico's most ruthless drug cartels $20,000 apiece.
doc_026	doc_026 [01 October, 2002]: a team of suicide bombers planned to set off explosives sometime this fall in trains carrying tens of thousands of commuters under the Hudson River. The attack would resemble last year's London transit bombing and, the conspirators hoped, unleash a torrent of water on Wall Street.
doc_025	doc_025 [21 May, 2002]: An unknown group had plans to carry out massive terrorist operations in the scale of 9/11 attacks targeting oil facilities in Saudi Arabia, Kuwait and the United Arab Emirates, according to captured militants whose confessions were published in the local media yesterday.
doc_024	doc_024 [8 July, 2002 ]: Recorded conversation in Denver, Colarado on 1 July, 2002 between Homer W. of the Aryan Brotherhood of Colorado and a person who identified himself as John H. This conversation involved the sale of weapons of an unspecified nature. Homer W. is an Army sergeant being investigated in connection with the theft of weapons reported in Army CID Report 02.
doc_023	doc_023 [18 October, 2002]: A person reported that he had found a suspicious-looking box on the beach in Florida. It's been waiting for investigation and What is in the box has not been uncovered.
doc_022	doc_022 [15 April, 2002]: Based on a report from a source inside God's Aryan Militia, Atlanta, Georgia. Militia group's purchase of surplus weapons  from an overseas arms supplier on or about 10 April, 2002. Purchase believed to include automatic weapons of various sorts and an unknown number of surface-to-air missiles.
doc_021	doc_021 [2 June, 2002]: Intercepted email from AG.  Message said, "RG, plans are still underway for our new operation.  Friends in Memphis, Birmingham, and Jackson will assist."
doc_020	doc_020 [29 May, 2002]: Julio S. and David W. entered the US from Mexico on 17 May through Atlanta.  Subsequent immigration checks showed that the passports were faked.
doc_019	doc_019 [20 August, 2002]: Three newspapers reported receiving emails on 17 August, 2002, from an Organization named Justice Forever threatening violence to elected officials in those states and the federal government.  The email's origin was traced to a public computer in a library in Charlotte, NC.
doc_018	doc_018 [22 October, 2002]: Nizar A. an Algerian residing in Paris entered Montreal, Canada on 16 July 2002 using a French passport. He is known to have traveled to Winnipeg, Canada. Nizar A. is now known to have spent six months in Afghanistan and may have traveled to Iraq.
doc_017	doc_017 [22 October, 2002]: Abu H., who was released from custody after the Sept. 11 incidents and whose fingerprints were found in the U-Haul truck rented by Arnold C.[see FBI Report 07] holds an Egyptian passport. He is now known to have spent six months in Afghanistan in the summer of 1999.
doc_016	doc_016 [7 September, 2002]: Officials seized documents at 134 Boynton Beach Lane in Miami on September 5, 2002.  The initials C.G., Y.K., and J.S. appeared along with lists of 12 US airports and various dates in October and November.
doc_015	doc_015 [28 August, 2002]: On August 23, 2002 customs officers seized 234 pounds of cocaine from a marina south of Tampa.  Arrested were Jesus Vazquez and Robert D'Onfrio.  Each has connections to a South American syndicate and drug cartel.
doc_014	doc_014 [20 October, 2002]: Essid D. and Djamel K., both Syrian nationals, entered the USA illegally in Los Angeles on 3 August 2002 using false Egyptian passports and travel visas. Both are said to have spent at least a year in Afghanistan.
doc_013	doc_013 [26 July, 2002]: Security measures have been raised at harbors and marinas on the West coast pending a letter received at the Los Angeles FBI field office threatening them.  No identification was on the letter but it had "RN" in large letters at the top.
doc_012	doc_012 [15 October, 2002]: A man named Majed H., using a faked Jordanian passport and travel visa, traveled from Aman, Jordan to Chicago, Illinois on 12 July, 2002. Majed H. is known to have resided in Afghanistan for two years [1996-1997] and has been identified as a member of Al-Queda.
doc_011	doc_011 [17 June, 2002]: Connected James Robinson (potential alias Jim Ross) and Eduardo Herrero (alias Eddie Macon) with the Revolution Now organization.
doc_010	doc_010 [28 September, 2002]: Observed James Smithson and Edward Johnson having lunch in Dallas.  Surveillance indicated the two made multiple phone calls and exchanged large documents.
doc_009	doc_009 [6 May, 2002]: Reports of repeated sightings of individuals travelling in groups on ferries from Bremerton to Seattle.  Suspicious individuals spoke with Russian accents and made multiple trips within a two week period.
doc_008	doc_008 [14 September, 2002]: Examined websites related to Revolution Now organization that indicate potential for increased activity.  The organization has been linked to two bombings in Texas last year.
doc_007	doc_007 [3 July, 2002]: Multiple boxes of grenades and guns were reported missing from a storage facility in Fort Bragg, NC.  A monthly inventory identified the missing arms and a damage indicating a break-in was found at a storage facility.  Suspicion that it might be an inside job because of the lack of further external evidence.
doc_006	doc_006 [20 September, 2002]: John H. seen in company with Lotfi Raissi, who may have helped train the four hijacker pilots involved in Sept. 11, 2001 terrorist incidents. It seems that the name John H. is an alias for Omar K., a person known to be associated with Al-Queda.
doc_005	doc_005 [21 February, 2002]: Report of theft of small arms ammunition, four M-16 rifles, six grenade launchers and six surface-to-air missiles. This theft occurred at a military installation in Colorado. [This theft is still under investigation.]
doc_004	doc_004 [11 August, 2002]: Detained Antonio Gonzalez entering the country through Houston Hobby airport.  Gonzalez contained maps and plans for biological agent testing facility in Fisher Island, NY. Gonzalez had no explanation for the documents.
doc_003	doc_003 [15 July, 2002]: Report of theft of weapons from a military installation in Georgia on or about 12 July, 2002. Missing are about 500 rounds of M-14 ammunition and an undetermined number of obsolete surface-to-air missiles. [This theft is still under investigation.]
doc_002	doc_002 [7 May, 2002]: Intercepted an email warning of "big events" to occur at various southern cities in the fall.  Extensive planning and preparation is being done for these events.
doc_001	doc_001 [26 June, 2002]: Three armed men held up a First American bank in Charlotte, NC.  The men wore masks and carried machine guns. Witnesses reported seeing a gray or silver SUV fleeing the scene at high speed.
